RH	TEMP	WINDSPEED	ELAPSEDTIME 
%	degC	cm/s	ms     
0.0000  13.00  355.988281  52959.00
0.0000  13.00  406.527343  53068.00
0.0000  13.00  368.609375  53179.00
0.0000  13.00  457.207031  53289.00
0.0000  13.00  142.835937  53399.00
0.0000  17.00  444.523437  53510.00
255.9961  255.00  130.378906  53619.00
0.0000  16.00  318.179687  53731.00
0.0000  15.00  444.523437  53841.00
0.0000  13.00  444.523437  53951.00
0.0000  14.00  444.523437  54062.00
0.0000  13.00  431.851562  54171.00
0.0000  14.00  93.062500  54282.00
0.0000  13.00  482.605468  54391.00
0.0000  13.00  406.527343  54502.00
0.0000  15.00  469.902343  54612.00
0.0000  13.00  406.527343  54722.00
0.0000  13.00  167.773437  54833.00
0.0000  13.00  482.605468  54942.00
0.0000  14.00  406.527343  55053.00
0.0000  13.00  482.605468  55162.00
0.0000  14.00  406.527343  55273.00
0.0000  14.00  508.042968  55384.00
0.0000  15.00  444.523437  55493.00
0.0000  18.00  520.773437  55604.00
0.0000  15.00  444.523437  55713.00
0.0000  15.00  482.605468  55824.00
0.0000  15.00  431.851562  55933.00
0.0000  13.00  520.773437  56044.00
0.0000  13.00  520.773437  56154.00
0.0000  13.00  482.605468  56264.00
0.0000  15.00  520.773437  56374.00
0.0000  13.00  482.605468  56484.00
0.0000  14.00  255.351562  56595.00
255.9961  255.00  482.605468  56705.00
0.0000  13.00  610.156250  56825.00
0.0000  13.00  559.023437  56935.00
0.0000  14.00  597.359375  57046.00
0.0000  14.00  622.960937  57155.00
0.0000  13.00  571.792968  57266.00
0.0000  13.00  610.156250  57375.00
0.0000  14.00  533.515625  57486.00
0.0000  13.00  610.156250  57596.00
0.0000  13.00  610.156250  57706.00
0.0000  13.00  305.597656  57817.00
0.0000  13.00  610.156250  57926.00
0.0000  14.00  533.515625  58037.00
0.0000  13.00  622.960937  58147.00
0.0000  13.00  533.515625  58257.00
0.0000  13.00  610.156250  58368.00
0.0000  13.00  610.156250  58477.00
0.0000  14.00  648.601562  58588.00
0.0000  14.00  648.601562  58697.00
0.0000  14.00  622.960937  58808.00
0.0000  14.00  661.441406  58917.00
0.0000  13.00  571.792968  59028.00
0.0000  15.00  648.601562  59139.00
0.0000  13.00  622.960937  59248.00
0.0000  15.00  687.136718  59359.00
0.0000  13.00  622.960937  59468.00
0.0000  14.00  648.601562  59579.00
0.0000  13.00  330.777343  59688.00
0.0000  13.00  584.570312  59799.00
0.0000  13.00  648.601562  59909.00
0.0000  13.00  584.570312  60019.00
0.0000  14.00  610.156250  60130.00
0.0000  14.00  520.773437  60239.00
0.0000  14.00  610.156250  60350.00
0.0000  14.00  610.156250  60460.00
0.0000  14.00  571.792968  60570.00
0.0000  13.00  242.812500  60680.00
0.0000  13.00  482.605468  60790.00
0.0000  13.00  610.156250  60900.00
0.0000  13.00  533.515625  61010.00
0.0000  13.00  610.156250  61121.00
0.0000  13.00  571.792968  61231.00
0.0000  13.00  571.792968  61341.00
0.0000  14.00  571.792968  61451.00
0.0000  14.00  508.042968  61561.00
0.0000  13.00  571.792968  61671.00
0.0000  13.00  495.320312  61782.00
0.0000  13.00  584.570312  61892.00
0.0000  13.00  571.792968  62002.00
0.0000  13.00  267.898437  62112.00
0.0000  13.00  584.570312  62222.00
0.0000  13.00  533.515625  62332.00
0.0000  13.00  661.441406  62443.00
0.0000  13.00  584.570312  62553.00
0.0000  14.00  661.441406  62663.00
0.0000  14.00  700.000000  62773.00
0.0000  14.00  700.000000  62883.00
0.0000  14.00  674.281250  62993.00
0.0000  14.00  661.441406  63104.00
0.0000  13.00  661.441406  63213.00
0.0000  13.00  571.792968  63324.00
0.0000  15.00  661.441406  63433.00
0.0000  13.00  520.773437  63544.00
0.0000  13.00  571.792968  63653.00
0.0000  13.00  444.523437  63764.00
0.0000  13.00  482.605468  63875.00
0.0000  14.00  469.902343  63984.00
0.0000  14.00  469.902343  64095.00
0.0000  14.00  482.605468  64204.00
0.0000  14.00  406.527343  64315.00
0.0000  14.00  444.523437  64425.00
0.0000  14.00  355.988281  64535.00
0.0000  13.00  431.851562  64646.00
0.0000  14.00  393.878906  64755.00
0.0000  13.00  318.179687  64866.00
0.0000  13.00  130.378906  64975.00
0.0000  13.00  355.988281  65086.00
0.0000  13.00  482.605468  65197.00
0.0000  14.00  482.605468  65306.00
0.0000  13.00  482.605468  65417.00
0.0000  13.00  482.605468  65526.00
0.0000  13.00  355.988281  65637.00
0.0000  13.00  93.062500  65746.00
0.0000  13.00  355.988281  65857.00
0.0000  13.00  431.851562  65968.00
0.0000  15.00  431.851562  66077.00
0.0000  14.00  444.523437  66188.00
0.0000  13.00  482.605468  66297.00
0.0000  13.00  406.527343  66408.00
0.0000  13.00  520.773437  66518.00
0.0000  15.00  495.320312  66628.00
0.0000  13.00  559.023437  66739.00
0.0000  14.00  520.773437  66848.00
0.0000  14.00  482.605468  66959.00
0.0000  14.00  444.523437  67068.00
0.0000  14.00  368.609375  67179.00
0.0000  14.00  431.851562  67289.00
0.0000  14.00  355.988281  67399.00
0.0000  14.00  431.851562  67510.00
0.0000  14.00  431.851562  67619.00
0.0000  14.00  431.851562  67730.00
0.0000  15.00  444.523437  67840.00
0.0000  14.00  355.988281  67950.00
0.0000  14.00  444.523437  68060.00
0.0000  13.00  368.609375  68170.00
0.0000  13.00  431.851562  68281.00
0.0000  14.00  444.523437  68390.00
0.0000  15.00  431.851562  68501.00
0.0000  15.00  482.605468  68611.00
0.0000  15.00  469.902343  68721.00
0.0000  14.00  482.605468  68831.00
0.0000  14.00  406.527343  68941.00
0.0000  14.00  482.605468  69051.00
0.0000  14.00  355.988281  69161.00
0.0000  14.00  444.523437  69272.00
0.0000  14.00  444.523437  69382.00
0.0000  14.00  444.523437  69492.00
0.0000  14.00  482.605468  69602.00
0.0000  14.00  406.527343  69712.00
0.0000  14.00  482.605468  69823.00
0.0000  14.00  406.527343  69933.00
0.0000  13.00  431.851562  70043.00
0.0000  13.00  431.851562  70153.00
0.0000  13.00  368.609375  70263.00
0.0000  14.00  393.878906  70373.00
0.0000  13.00  355.988281  70483.00
0.0000  13.00  431.851562  70594.00
0.0000  13.00  431.851562  70704.00
0.0000  16.00  431.851562  70814.00
0.0000  13.00  431.851562  70924.00
0.0000  13.00  355.988281  71034.00
0.0000  14.00  393.878906  71145.00
0.0000  15.00  318.179687  71255.00
0.0000  13.00  406.527343  71365.00
0.0000  13.00  393.878906  71475.00
0.0000  13.00  318.179687  71585.00
0.0000  14.00  431.851562  71695.00
0.0000  14.00  318.179687  71805.00
0.0000  17.00  393.878906  71916.00
0.0000  13.00  6.304687  72026.00
0.0000  15.00  393.878906  72136.00
0.0000  15.00  318.179687  72246.00
0.0000  13.00  431.851562  72356.00
0.0000  15.00  393.878906  72466.00
0.0000  14.00  431.851562  72577.00
0.0000  14.00  431.851562  72686.00
0.0000  13.00  55.828125  72797.00
0.0000  13.00  80.640625  72906.00
0.0000  16.00  368.609375  73017.00
0.0000  13.00  167.773437  73127.00
0.0000  13.00  406.527343  73237.00
0.0000  13.00  482.605468  73348.00
0.0000  13.00  444.523437  73457.00
0.0000  14.00  355.988281  73568.00
0.0000  14.00  93.062500  73677.00
0.0000  14.00  318.179687  73788.00
0.0000  16.00  381.238281  73899.00
0.0000  14.00  318.179687  74008.00
0.0000  13.00  381.238281  74119.00
255.9961  255.00  393.878906  74228.00
0.0000  14.00  318.179687  74337.00
0.0000  14.00  393.878906  74446.00
0.0000  13.00  355.988281  74557.00
0.0000  13.00  393.878906  74668.00
0.0000  13.00  393.878906  74777.00
0.0000  13.00  318.179687  74888.00
0.0000  13.00  80.640625  74997.00
0.0000  13.00  368.609375  75108.00
0.0000  13.00  444.523437  75218.00
0.0000  13.00  431.851562  75328.00
0.0000  14.00  482.605468  75439.00
0.0000  14.00  482.605468  75548.00
0.0000  13.00  406.527343  75659.00
0.0000  14.00  495.320312  75769.00
0.0000  14.00  431.851562  75879.00
0.0000  14.00  482.605468  75990.00
0.0000  15.00  469.902343  76099.00
0.0000  13.00  406.527343  76210.00
0.0000  14.00  431.851562  76319.00
0.0000  14.00  368.609375  76430.00
0.0000  13.00  431.851562  76540.00
0.0000  13.00  393.878906  76650.00
0.0000  14.00  393.878906  76761.00
0.0000  14.00  393.878906  76870.00
0.0000  13.00  355.988281  76981.00
0.0000  14.00  431.851562  77090.00
0.0000  14.00  355.988281  77201.00
0.0000  14.00  444.523437  77312.00
0.0000  15.00  355.988281  77421.00
0.0000  14.00  431.851562  77532.00
0.0000  15.00  431.851562  77641.00
0.0000  14.00  444.523437  77752.00
0.0000  14.00  431.851562  77861.00
0.0000  13.00  355.988281  77972.00
0.0000  13.00  431.851562  78083.00
0.0000  13.00  117.929687  78192.00
0.0000  15.00  431.851562  78303.00
0.0000  14.00  431.851562  78412.00
0.0000  13.00  355.988281  78523.00
0.0000  15.00  431.851562  78632.00
0.0000  13.00  393.878906  78743.00
0.0000  14.00  482.605468  78854.00
0.0000  15.00  393.878906  78963.00
0.0000  14.00  469.902343  79074.00
0.0000  15.00  482.605468  79183.00
0.0000  14.00  482.605468  79294.00
0.0000  13.00  533.515625  79404.00
0.0000  13.00  444.523437  79514.00
0.0000  13.00  255.351562  79624.00
0.0000  13.00  444.523437  79734.00
0.0000  13.00  242.812500  79845.00
0.0000  13.00  559.023437  79954.00
